run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-8-family-standard-beer-perturbation-sweep-ceml1-55d57998a902,v1.8-family-standard,beer-perturbation-sweep-ceml1,beer_lambert,warm_start,0,2,8,0,60,1,1,5.0,CEML_1,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.02489175001392141,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-ceml1-55d57998a902.json
v1-8-family-standard-beer-perturbation-sweep-ceml1-5bb6d361f55c,v1.8-family-standard,beer-perturbation-sweep-ceml1,beer_lambert,warm_start,0,2,8,0,60,1,1,35.0,CEML_1,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.02593341696774587,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-ceml1-5bb6d361f55c.json
v1-8-family-standard-beer-perturbation-sweep-zeml1-32c4d2e4d993,v1.8-family-standard,beer-perturbation-sweep-zeml1,beer_lambert,warm_start,0,2,8,0,60,1,1,0.0,ZEML_1,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.025733541988302022,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-zeml1-32c4d2e4d993.json
v1-8-family-standard-beer-perturbation-sweep-zeml1-5c03faa3db0d,v1.8-family-standard,beer-perturbation-sweep-zeml1,beer_lambert,warm_start,0,2,8,0,60,1,1,5.0,ZEML_1,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.022516333032399416,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-zeml1-5c03faa3db0d.json
v1-8-family-standard-beer-perturbation-sweep-zeml1-f2b4e5a617ba,v1.8-family-standard,beer-perturbation-sweep-zeml1,beer_lambert,warm_start,0,2,8,0,60,1,1,35.0,ZEML_1,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.022910250001586974,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-zeml1-f2b4e5a617ba.json
v1-8-family-standard-beer-perturbation-sweep-ceml2-a0369f6c88f9,v1.8-family-standard,beer-perturbation-sweep-ceml2,beer_lambert,warm_start,0,2,8,0,60,1,1,0.0,CEML_2,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.02162491698982194,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-ceml2-a0369f6c88f9.json
v1-8-family-standard-beer-perturbation-sweep-ceml2-ddb5f3a08a00,v1.8-family-standard,beer-perturbation-sweep-ceml2,beer_lambert,warm_start,0,2,8,0,60,1,1,5.0,CEML_2,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.021727624989580363,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-ceml2-ddb5f3a08a00.json
v1-8-family-standard-beer-perturbation-sweep-ceml2-b0c30057282d,v1.8-family-standard,beer-perturbation-sweep-ceml2,beer_lambert,warm_start,0,2,8,0,60,1,1,35.0,CEML_2,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.021210292004980147,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-ceml2-b0c30057282d.json
v1-8-family-standard-beer-perturbation-sweep-zeml2-486c46e2f769,v1.8-family-standard,beer-perturbation-sweep-zeml2,beer_lambert,warm_start,0,2,8,0,60,1,1,0.0,ZEML_2,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.020561874960549176,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-zeml2-486c46e2f769.json
v1-8-family-standard-beer-perturbation-sweep-zeml2-274fd7b0df71,v1.8-family-standard,beer-perturbation-sweep-zeml2,beer_lambert,warm_start,0,2,8,0,60,1,1,5.0,ZEML_2,,,,,recovered,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),0.02373791701393202,,,,centered_family_same_family_seed_missing,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-beer-perturbation-sweep-zeml2-274fd7b0df71.json
